"card_name","issuer","card_type","annual_fee","annual_fee_year_1","annual_fee_year_2_plus","reward_model","rewards_type","card_family","cashback_rate_display","cashback_rate_effective","signup_bonus","signup_bonus_type","estimated_bonus_value_usd","minimum_spend_amount","bonus_to_spend_ratio","spend_time_frame","intro_apr_purchase","foreign_tx_fee","best_for","why_this_card_exiss","pros","cons","application_link","ftf","lounge","ge_tsa_precheck","special_feature_1","special_feature_2","gas_rate","grocery_rate","restaurant_rate","travel_airline_rate","travel_hotel_rate","travel_portal_rate","other_rate","rotating_categories","transfer_partners","credit_score_quantity","credit_score_quality"
"Chase Freedom Unlimited","Chase","personal","0.0","0.0","0.0","cashback","Cash","Freedom ","5 / 3 / 1.5","1.8","250","dollars","$250","$500","0.4","3.0","0% for 15 months","Yes","Everyday spending with no annual fee and solid category bonuses","Bridges no-fee simplicity with Chase Ultimate Rewards ecosystem for future flexibility","• 5% rotating categories (quarterly) ✓ • 1.5% base rate ✓ • Pairs with Sapphire ✓","• Foreign transaction fee 🌍 • Quarterly activation required • Bonus caps","https://creditcards.chase.com/cash-back-credit-cards/freedom/unlimited","3%","","","6mo DashPass","$10/qtr DoorDash","3.0","1.0","3.0","2.0","2.0","5.0","1.5","no","","700","good"
"Chase Freedom Flex","Chase","personal","0.0","0.0","0.0","cashback","Cash","Freedom ","5 / 3 / 1","1.6","200.0","dollars","200.0","$500","0.4","3.0","0% for 15 months","Yes","Maximizing quarterly 5% categories without annual fee","Offers high earning potential in rotating categories for organized spenders","• 5% quarterly rotating categories ✓ • 3% drugstores, dining ✓ • No annual fee ✓","• Quarterly activation required • $1,500/qtr cap • Foreign transaction fee 🌍","https://creditcards.chase.com/cash-back-credit-cards/freedom/flex","3%","","","Cell phone protection","6mo DashPass","5.0","5.0","3.0","1.0","1.0","5.0","1.0","yes","","700","good"
"Chase Amazon Prime Visa","Chase","personal","0.0","0.0","0.0","cashback","Cash","","5 / 2 / 1","1.8","150.0","dollars","150.0","$0","","0.0","","No","Heavy Amazon shoppers and Prime members","Captures Amazon's massive user base with best-in-class earning on Amazon purchases","• 5% Amazon and Whole Foods ✓ • 2% restaurants, gas, drugstores ✓ • No annual fee ✓","• Requires Prime membership ⚠️ • Foreign transaction fee 🌍 • Value drops without Prime","https://creditcards.chase.com/cash-back-credit-cards/amazon-prime-rewards","0%","","","$150 gift card on approval","","2.0","1.0","1.0","1.0","1.0","1.0","1.0","no","","700","good"
"Chase Freedom Rise","Chase","personal","0.0","0.0","0.0","cashback","Cash","Freedom ","1.5","1.5","25","dollars","25.0","$0","","3 months from account opening","","Yes","Credit builders seeking simple flat-rate rewards","Entry point into Chase ecosystem for customers with limited or rebuilding credit","• No annual fee ✓ • Fair-credit approval ✓ • 1.5% earning ✓","• Low 1.5% rate • Foreign transaction fee 🌍 • No intro APR","https://creditcards.chase.com/cash-back-credit-cards/freedom/rise","3%","","","$25 for autopay enrollment","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","no","","640","ok"
"Chase Sapphire Preferred","Chase","personal","95.0","95.0","95.0","travel","Ultimate Rewards (UR)","Sapphire ","","0.5","75000.0","points","750.0","$5,000","0.15","3.0","","No","Travelers wanting premium perks without luxury-tier fees","Gateway travel card balancing strong earning transfer partners and manageable annual fee","• 60k+ welcome bonus ✓ • Transferable to 14+ partners ✓ • 3× dining, 2× travel ✓","• $95 annual fee 💰 • Less lounge access than Reserve • Portal favors Chase","https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred","0%","","","$50 hotel credit/yr","10% anniversary bonus","1.0","3.0","3.0","2.0","2.0","5.0","1.0","no","United;Southwest;JetBlue;Air Canada;British Airways;Iberia;Aer Lingus;Virgin Atlantic;Flying Blue;Emirates;Singapore;Hyatt;Marriott;IHG","700","good"
"Chase Sapphire Reserve","Chase","personal","795.0","795.0","795.0","travel","Ultimate Rewards (UR)","Sapphire ","","0.5","125000.0","points","1250.0","$6,000","0.2083","3.0","","No","Frequent travelers who value lounge access and premium travel benefits","Flagship personal travel card for customers prioritizing experience over cost","• $300 travel credit ✓ • Priority Pass lounges ✓ • 1.5× portal boost ✓","• $795 annual fee 💰 • Needs heavy travel to justify • Credits need optimization","https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve","0%","Priority Pass + Chase lounges","Yes ($120/4yr)","$300 travel credit","$500 The Edit hotel credit","1.0","1.0","3.0","3.0","3.0","10.0","1.0","no","United;Southwest;JetBlue;Air Canada;British Airways;Iberia;Aer Lingus;Virgin Atlantic;Flying Blue;Emirates;Singapore;Hyatt;Marriott;IHG","740","great"
"Chase Ink Cash","Chase","business","0.0","0.0","0.0","cashback","Cash","Ink ","5 / 2 / 1","2.0","750.0","dollars","750.0","$6,000","0.125","3.0","0% for 12 months","No","Small businesses with heavy office supply telecom or gas spending","Maximizes cash back in core small-business spend categories without annual cost","• 5% office, internet, cable, phone ✓ • 2% gas, dining ✓ • No annual fee ✓","• 5% capped at $25k/yr • Foreign transaction fee 🌍 • Weak outside categories","https://creditcards.chase.com/business-credit-cards/ink/cash","0%","","","5% Lyft thru 9/27","","5.0","2.0","1.0","1.0","1.0","1.0","1.0","no","","700","good"
"Chase Ink Unlimited","Chase","business","0.0","0.0","0.0","cashback","Cash","Ink ","1.5","1.5","750.0","dollars","750.0","$6,000","0.125","3.0","0% for 12 months","No","Businesses wanting simple flat-rate cash back on all purchases","Simplifies business spend tracking with unlimited flat earning and no annual fee","• 1.5% on all purchases ✓ • No annual fee ✓ • Doesn't count toward 5/24 ✓","• No category bonuses • Foreign transaction fee 🌍 • Lower earning ceiling","https://creditcards.chase.com/business-credit-cards/ink/unlimited","0%","","","5% Lyft thru 9/27","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","no","","700","good"
"United Gateway Card","Chase","personal","0.0","0.0","0.0","airline","United Miles","United ","2 / 1","1.4","40000","miles","300.0","$1,000","0.3","3.0","0% for 12 months","No","Occasional United flyers wanting United perks without annual fee commitment","Brings United co-brand benefits to cost-conscious travelers flying a few times per year","• No annual fee ✓ • 2× United ✓ • Bonus miles on anniversary ✓","• No free checked bag ✈️ • Smaller welcome bonus • Limited perks","https://creditcards.chase.com/travel-credit-cards/united/united-gateway","0%","","","2 checked bags after $10k/yr","25% back inflight","2.0","1.0","1.0","2.0","1.0","1.0","1.0","no","United","700","good"
"United Club Infinite Card","Chase","personal","695.0","695.0","695.0","airline","United Miles","United ","4 / 2 / 1","0.5","110000","miles","900.0","$5,000","0.18","3.0","","No","Road warriors flying United weekly who live in United Club lounges","Top-tier United card for heavy flyers needing premium lounge access and elite-qualifying benefits","• United Club included (~$650 value) ✓ • 4× United ✓ • Free checked bags ✓","• $695 annual fee 💰 • Needs frequent United travel • Niche outside United hubs","https://creditcards.chase.com/travel-credit-cards/united/club-infinite","0%","United Club included","Yes ($120/4yr)","Free 1st+2nd checked bags","Over $875 annual credits","2.0","1.0","1.0","5.0","1.0","1.0","1.0","no","United","740","great"
